ID,medv
3,24.0
6,33.4
8,19.8
9,19.4
10,18.9
18,23.1
20,20.4
25,12.7
26,14.8
27,19.4
29,19.6
30,20.2
33,13.5
34,17.8
36,22.6
37,19.3
38,22.6
42,21.2
49,19.3
53,23.9
60,18.7
63,18.7
70,17.4
72,23.4
79,21.4
80,22.6
83,23.9
92,22.6
93,20.6
96,23.7
98,50.0
99,50.0
100,23.9
105,19.8
106,20.4
111,20.1
113,20.4
114,18.4
116,20.4
126,20.3
130,12.7
131,19.6
133,27.9
136,17.8
141,13.3
144,13.8
145,13.8
147,19.4
152,19.4
153,17.4
156,21.7
158,50.0
163,50.0
169,22.3
185,19.3
186,20.1
189,21.2
196,50.0
197,34.9
199,34.9
200,34.9
203,50.0
208,19.3
210,19.3
211,19.3
213,24.4
216,25.0
218,23.3
219,15.2
220,22.3
221,27.5
229,23.7
232,31.6
238,25.1
239,29.1
240,22.2
242,22.0
246,22.0
248,24.5
253,24.5
255,23.1
256,22.0
257,26.6
258,50.0
259,17.1
260,17.1
268,16.1
270,21.7
271,19.3
276,25.0
277,35.2
278,24.7
279,23.9
281,50.0
288,23.9
290,22.0
292,34.9
295,23.9
296,23.9
299,24.5
300,24.5
301,31.6
308,33.4
314,23.1
315,19.8
320,23.1
322,23.8
323,24.3
324,19.3
327,25.0
330,18.6
332,22.0
333,23.4
336,20.6
338,18.7
346,24.5
347,24.5
351,24.5
352,24.5
354,35.4
355,24.5
356,24.5
362,16.1
364,15.4
365,27.5
370,50.0
376,17.1
379,7.2
380,13.3
381,7.2
382,7.2
386,13.8
389,7.2
391,18.4
394,21.4
396,17.8
398,13.3
400,23.2
403,7.2
405,8.8
406,8.3
407,13.8
410,7.2
411,8.8
412,13.3
413,13.8
417,14.1
421,17.1
422,18.4
423,21.9
424,19.1
427,11.7
431,19.1
436,14.1
437,15.2
439,11.7
447,15.2
450,14.1
451,14.1
455,14.1
457,14.1
471,19.1
474,16.1
476,13.8
483,23.7
486,20.6
490,13.6
495,20.1
496,21.8
497,19.3
499,19.8
501,23.2
505,26.6
