ID,medv
3,34.9
6,24.6
8,21.7
9,13.8
10,21.7
18,20.4
20,21.8
25,19.1
26,11.7
27,14.5
29,19.6
30,19.6
33,19.1
34,16.2
36,24.7
37,19.5
38,19.5
42,31.1
49,19.3
53,24.0
60,18.7
63,25.0
70,22.6
72,24.7
79,21.4
80,22.0
83,24.7
92,25.0
93,23.1
96,23.9
98,50.0
99,50.0
100,26.6
105,21.4
106,19.5
111,21.4
113,17.4
114,17.8
116,19.4
126,20.3
130,17.8
131,19.6
133,20.2
136,17.8
141,8.3
144,13.8
145,17.8
147,20.3
152,17.4
153,23.1
156,21.7
158,35.4
163,50.0
169,22.2
185,17.4
186,21.2
189,24.0
196,50.0
197,34.9
199,43.1
200,31.6
203,50.0
208,24.4
210,19.3
211,24.4
213,24.4
216,21.4
218,22.0
219,15.2
220,22.3
221,27.5
229,50.0
232,31.6
238,35.4
239,23.1
240,23.6
242,22.2
246,17.8
248,21.4
253,24.4
255,24.3
256,22.6
257,34.9
258,34.9
259,39.8
260,23.3
268,50.0
270,24.4
271,24.4
276,31.6
277,26.6
278,31.6
279,23.9
281,50.0
288,24.1
290,22.0
292,33.4
295,22.8
296,22.8
299,22.2
300,35.4
301,31.6
308,23.9
314,23.9
315,22.0
320,22.2
322,23.3
323,23.4
324,21.8
327,25.0
330,22.2
332,19.3
333,24.3
336,23.4
338,20.6
346,20.6
347,22.6
351,26.6
352,22.8
354,50.0
355,21.8
356,20.4
362,20.0
364,20.1
365,33.4
370,22.8
376,33.0
379,7.2
380,11.0
381,17.8
382,14.1
386,8.8
389,13.8
391,11.7
394,11.7
396,17.8
398,12.7
400,19.5
403,7.2
405,13.8
406,10.5
407,10.5
410,14.1
411,21.8
412,13.3
413,13.8
417,14.1
421,17.1
422,19.4
423,20.1
424,19.1
427,19.5
431,17.8
436,14.1
437,15.2
439,19.1
447,15.2
450,15.4
451,17.8
455,14.1
457,19.1
471,18.4
474,20.2
476,8.3
483,23.9
486,18.6
490,8.3
495,17.4
496,16.2
497,13.3
499,23.2
501,23.2
505,26.6
